idFecha,idCrypto,idFactExt,volumen,mediaMovil
1,0,0,33594750549.99859,44980.898214810935
1,1,0,6992027537.316006,551.3296279802712
1,2,0,296091093.7951882,1.0024018246768236
1,3,0,423047546.8344605,184.1433550562084
1,4,0,993468486.1597265,0.22553715307505245
1,5,0,2153613635.436473,164.32758105439206
1,6,0,206708042.86875048,249.38168201729255
1,7,0,66837441.17082208,5.1006429390335
1,8,0,4349288006.629749,1.000436281381362
1,9,0,488280807.1444689,0.3032663673825624
1,10,0,63721474412.4363,1.001312817755819
1,11,0,174773869.3919868,122.54806243391538
1,12,0,822701906.2273271,2.0072816706643892
1,13,0,2859554202.027366,2.326438198055506
1,14,0,2739967201.059863,41.8780063869765
1,15,0,1076441554.2356563,4.385420610471599
1,16,0,19536554032.084408,3159.269865581771
1,17,0,3853533131.9310584,51.52757149897884
1,18,0,50840843.70878427,1.707235177515715
1,19,0,154162348.32872275,355.96728483022883
1,20,0,11164632.176418234,3.1050088780984675
1,21,0,1701994083.1513853,33.464521782542995
1,22,0,1137678238.1390312,0.09940086049462554
1,23,0,21422193.776796922,22.285908627406116
1,24,0,35031011.907173686,21.96510207820506
1,25,0,2190225.693314051,270.00615062856764
1,26,0,109918003.60284542,5.943372644149109
1,27,0,87098926.23127349,143.68353150083146
1,28,0,1156230796.6892164,25.36131798668982
1,29,0,723636559.6530465,74.5731845819523
1,30,0,26277225.401843265,1.1948755932961181
1,31,0,104724872.01657039,0.7028148152502869
0,0,1,42973070342.650276,42752.1681545072
0,1,1,7078173434.462731,512.6661374497398
0,2,1,531959022.05860126,1.0022615256011058
0,3,1,442508017.3131221,165.56236822354637
0,4,1,1650842493.758961,0.20912062745686183
0,5,1,3067752227.3311872,151.95202891837235
0,6,1,260436328.86865836,233.6435431761509
0,7,1,50292132.817510135,4.726870295488497
0,8,1,5002962524.012147,0.9409389925960898
0,9,1,557488209.4569967,0.2819295083963757
0,10,1,85090629607.86754,1.0000412548740925
0,11,1,274850978.0572746,110.63247721496265
0,12,1,811489702.3672101,1.7841470647366888
0,13,1,5125188372.207657,2.271252028112571
0,14,1,2409045204.1983547,42.24390919856816
0,15,1,1569171763.6059566,4.029881529673313
0,16,1,28504692815.75815,2930.7427060738946
0,17,1,4021727837.6279483,47.58047596725026
0,18,1,75450044.38024814,1.5876301507940767
0,19,1,236578899.8566835,331.319828913782
0,20,1,11614616.074765427,2.9037492788007624
0,21,1,2858400513.0512323,30.768722950317553
0,22,1,1559415387.5869412,0.09219000632512625
0,23,1,25551721.76722516,20.541271409446246
0,24,1,47233931.49110126,20.152576643193655
0,26,1,194069111.19688794,6.344990887941728
0,27,1,51804161.038572475,130.79607667038815
0,28,1,1546272258.4964294,23.194439132702286
0,29,1,2024712311.59687,63.18321284453408
0,30,1,31545363.207291353,1.0944409595523255
0,31,1,108920194.28364424,0.65162842501369
